City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
65,carnarvon,-24.8667,113.6333,22.910000000000025,49,0,12.48,AU,1702065143
66,yuzhno-kurilsk,44.0306,145.8556,3.5400000000000205,89,57,2.04,RU,1702065143
67,bubaque,11.2833,-15.8333,28.170000000000016,65,0,5.81,GW,1702065143
68,rio grande,-32.035,-52.0986,26.060000000000002,62,0,6.69,BR,1702064950
69,invercargill,-46.4,168.35,16.340000000000032,50,100,6.38,NZ,1702064855
70,freetown,8.484,-13.2299,27.840000000000032,83,75,3.09,SL,1702065144
71,punta arenas,-53.15,-70.9167,13.060000000000002,62,0,5.14,CL,1702064883
72,bredasdorp,-34.5322,20.0403,17.400000000000034,83,100,5.52,ZA,1702065145
73,villa la angostura,-40.7617,-71.6463,18.010000000000048,42,6,6.85,AR,1702065145
74,ugoofaaru,5.6667,73.0,28.08000000000004,75,100,7.7,MV,1702065145
75,chiang klang,19.2938,100.8617,21.27000000000004,96,25,0.31,TH,1702065145
76,isafjordur,66.0755,-23.124,-3.919999999999959,72,2,1.73,IS,1702065146
77,alice springs,-23.7,133.8833,25.75,53,0,3.09,AU,1702065146
78,papatowai,-46.5619,169.4708,15.990000000000009,53,100,3.56,NZ,1702065146
79,al qusayr,34.5091,36.5798,13.860000000000014,79,96,0.31,SY,1702065147
80,parauapebas,-6.0675,-49.9022,33.99000000000001,58,40,1.03,BR,1702065147
81,tashtyp,52.7939,89.8983,-20.00999999999999,93,99,1.4,RU,1702065147
82,olonkinbyen,70.9221,-8.7187,-2.519999999999982,78,100,5.56,SJ,1702065147
83,tual,-5.6667,132.75,28.680000000000007,74,44,2.23,ID,1702065148
84,knyaze-volkonskoye,48.4642,135.4567,-10.810000000000002,98,98,2.24,RU,1702065148
85,cabo san lucas,22.8909,-109.9124,29.78000000000003,70,0,2.24,MX,1702065148
86,suntar,62.1444,117.6319,-32.069999999999965,96,100,2.84,RU,1702065149
87,tshela,-4.9833,12.9333,22.970000000000027,97,45,0.49,CD,1702065149
88,isangel,-19.55,169.2667,25.060000000000002,73,75,1.54,VU,1702065149
89,port mathurin,-19.6833,63.4167,25.900000000000034,77,64,2.87,MU,1702065149
90,cidreira,-30.1811,-50.2056,20.79000000000002,60,12,5.57,BR,1702065150
91,vorgashor,67.5833,63.95,-23.549999999999983,99,100,1.86,RU,1702065150
92,grand gaube,-20.0064,57.6608,25.77000000000004,91,8,3.95,MU,1702065150
93,ust-nera,64.5667,143.2,-24.269999999999982,98,98,1.49,RU,1702065150
94,kodiak,57.79,-152.4072,-8.269999999999982,79,0,2.06,US,1702065151
95,nar'yan-mar,67.6713,53.087,-17.99999999999997,93,100,3.73,RU,1702065151
96,pul-e khumri,35.9446,68.7151,8.060000000000002,46,93,0.46,AF,1702065151
97,hammerfest,70.6634,23.6821,-3.75,68,0,6.69,NO,1702065152
98,gujo,35.7369,136.9585,4.5400000000000205,73,0,2.52,JP,1702065152
99,albany,42.6001,-73.9662,8.150000000000034,75,98,0.45,US,1702065107
100,praia da vitoria,38.7333,-27.0667,20.140000000000043,88,75,12.99,PT,1702065152
101,yanchep,-31.55,115.6833,16.08000000000004,57,0,7.07,AU,1702065153
102,medina de rioseco,41.8833,-5.0441,8.560000000000002,86,100,5.01,ES,1702065153
103,sittwe,20.15,92.9,23.610000000000014,91,49,2.95,MM,1702065153
104,mahina,-17.5065,-149.489,27.870000000000005,74,75,7.72,PF,1702065153
105,luderitz,-26.6481,15.1594,17.560000000000002,72,0,7.17,NA,1702065154
106,ji'an,27.1172,114.9793,16.840000000000032,56,100,0.45,CN,1702065154
107,bayanhongor,46.7167,100.1167,-21.549999999999983,74,13,1.93,MN,1702065154
108,uray,60.1247,64.7758,-27.849999999999966,86,69,2.24,RU,1702065154
